name,yahoo_symbol,exchange
S&P 500,^GSPC,GLOBAL
Dow Jones Industrial,^DJI,GLOBAL
NASDAQ 100,^NDX,GLOBAL
Russell 2000,^RUT,GLOBAL
FTSE 100,^FTSE,GLOBAL
DAX,^GDAXI,GLOBAL
CAC 40,^FCHI,GLOBAL
Euro Stoxx 50,^STOXX50E,GLOBAL
Nikkei 225,^N225,GLOBAL
Hang Seng,^HSI,GLOBAL
Shanghai Composite,000001.SS,GLOBAL
KOSPI,^KS11,GLOBAL
S&P/ASX 200,^AXJO,GLOBAL
TSX Composite,^GSPTSE,GLOBAL
Bovespa,^BVSP,GLOBAL
IPC Mexico,^MXX,GLOBAL
IBEX 35,^IBEX,GLOBAL
